car_name,car_status,car_price,dealer_name,dealer_Rate,dealer_reviews,dealer_location,tel_number,state,region
2009 Toyota Matrix S,Used,7999,Auto Heaven Inc,0.0,1,"Chantilly, VA",tel:+1-571-642-1082,Chantilly,VA
2014 Honda CR-Z Base,Used,12345,Arlington Motors of Woodbridge,0.0,1,"Woodbridge, VA",tel:+1-571-368-6607,Woodbridge,VA
2020 Honda Civic Si Base,Used,24998,CarMax South Portland - Offering Express Pickup and Home Delivery,0.0,3,"South Portland, ME",tel:+1-207-370-6630,South Portland,ME
2020 Audi R8 5.2 V10 performance,Used,179995,Gulf Coast Motorworks,0.0,9,"Bonita Springs, FL",tel:+1-239-494-4197,Bonita Springs,FL
2024 Ford F-150 XLT,New,54745,Bolton Ford,0.0,233,"Lake Charles, LA",tel:+1-337-214-1980,Lake Charles,LA
2012 Mercedes-Benz GL-Class GL 450 4MATIC,Used,9799,Baldwin Auto Sales,0.0,70,"Escondido, CA",tel:+1-888-300-7252,Escondido,CA
2020 Chevrolet Silverado 1500 High Country,Used,45500,Clement Pre-Owned (Florissant),4.4,261,"Florissant, MO",tel:+1-314-428-9167,Florissant,MO
2019 GMC Terrain SLT,Used,15500,Albany Mitsubishi,4.9,30,"Albany, GA",tel:+1-229-688-2906,Albany,GA
2014 Mazda CX-5 Sport,Used,14560,Vista Auto Sales,5.0,58,"Vista, CA",tel:+1-760-208-4557,Vista,CA
2024 Chevrolet Trailblazer ACTIV,New,29435,King Auto Corner,0.0,27,"VALLEY, AL",tel:+1-334-528-0426,VALLEY,AL
2022 Genesis GV70 3.5T Sport,Used,46499,Genesis of Lindon,0.0,0,"Lindon, UT",tel:+1-801-850-9834,Lindon,UT
2016 Volkswagen Touareg VR6 Lux,Used,22988,First Car,0.0,1,"Bakersfield, CA",tel:+1-661-578-6258,Bakersfield,CA
2018 Chevrolet Corvette Grand Sport,Used,64988,Gold Star Motors,0.0,16,"Salinas, CA",tel:+1-831-269-3039,Salinas,CA
2024 Mercedes-Benz Sprinter 2500 Standard Roof,New,63664,Mercedes-Benz of Coconut Creek,4.5,1490,"Coral Springs, FL",tel:+1-866-604-1242,Coral Springs,FL
2009 Pontiac G3,Used,3495,Maximum Auto Outlet,2.7,431,"Manassas Park, VA",tel:+1-571-257-2895,Manassas Park,VA
2024 BMW X1 xDrive28i,New,45645,BMW of Montgomery,4.5,330,"Montgomery, AL",tel:+1-866-487-2341,Montgomery,AL
2015 GMC Sierra 1500 SLE,Used,22527,Patriot Honda Danville,0.0,0,"Danville, IL",tel:+1-888-910-2584,Danville,IL
2024 Kia Seltos LX,New,26040,KIA of Dodge City,0.0,4,"Dodge City, KS",tel:+1-620-371-2071,Dodge City,KS
2020 Chrysler Pacifica Touring-L Plus,Used,28378,Leith Chrysler Jeep,4.7,1428,"Raleigh, NC",tel:+1-877-710-3112,Raleigh,NC
2022 Volkswagen Taos 1.5T SE,Used,21540,Lithia Chrysler Dodge Jeep Ram of Corpus Christi,4.4,2072,"Corpus Christi, TX",tel:+1-361-356-4908,Corpus Christi,TX
2005 Ford Thunderbird 50th Anniversary,Used,27995,Scott Mazda,0.0,35,"Allentown, PA",tel:+1-610-628-9805,Allentown,PA
2023 Buick Enclave Essence AWD,New,52100,Aschenbach Chevrolet GMC,4.5,90,"Wytheville, VA",tel:+1-888-960-5013,Wytheville,VA
2016 Hyundai Elantra GT Base,Used,11354,Little Apple Cars,2.9,194,"Manhattan, KS",tel:+1-785-560-3177,Manhattan,KS
2021 Ford Bronco Outer Banks,Used,41500,Pilson Auto Center of Charleston,0.0,38,"Charleston, IL",tel:+1-877-879-0286,Charleston,IL
2021 RAM ProMaster 3500 Window Van High Roof,Used,94000,Westgate Chrysler Jeep Dodge Ram,3.2,1192,"Raleigh, NC",tel:+1-919-249-3700,Raleigh,NC
2018 Lexus RX 450hL Luxury,Used,35998,CarMax Gaithersburg - Offering Express Pickup and Home Delivery,0.0,10,"Gaithersburg, MD",tel:+1-301-637-4365,Gaithersburg,MD
2020 Honda Accord Hybrid Touring,Used,21950,Driven Automotive,0.0,19,"Binghamton, NY",tel:+1-607-238-2141,Binghamton,NY
2017 INFINITI QX70 Base,Used,15995,Certified Luxury Auto,4.7,170,"Scottsdale, AZ",tel:+1-480-619-6170,Scottsdale,AZ
2016 Toyota Camry Hybrid LE,Used,16995,Twins Auto Mall,4.2,33,"Rockford, IL",tel:+1-815-580-4037,Rockford,IL
2011 Mercedes-Benz Sprinter 2500,Used,19995,German Auto House LLC,0.0,7,"Fitchburg, WI",tel:+1-888-861-6785,Fitchburg,WI
2024 Alfa Romeo Giulia Veloce RWD,New,55920,Greenway FIAT of East Orlando,3.5,149,"Orlando, FL",tel:+1-407-287-5104,Orlando,FL
2020 Ford Explorer XLT 4WD,Used,37995,Duffy's Auto Sales,0.0,5,"Peru, IL",tel:+1-815-224-9200,Peru,IL
2022 Toyota Prius LE,Used,27995,Roy's Auto Center,0.0,25,"Eureka, CA",tel:+1-707-382-3610,Eureka,CA
2022 RAM 3500 Tradesman Crew Cab 4x4 6'4' Box,Used,43997,Stuckey Mitsubishi,4.3,51,"State College, PA",tel:+1-814-800-0285,State College,PA
2024 Jeep Wrangler 4xe Rubicon,New,68800,Voyles CDJR of Birmingham,1.8,5,"Birmingham, AL",tel:+1-205-847-2464,Birmingham,AL
2023 Rivian R1S Adventure Quad-Motor Large Package,Used,81900,,0.0,0,,,no_state,no_region
2018 Jeep Wrangler JK Unlimited Sport,Used,23307,Destination Nissan,4.7,5829,"Albany, NY",tel:+1-877-828-8949,Albany,NY
2024 Nissan Sentra SV,New,23123,Garber Chrysler Dodge Jeep RAM,4.8,1017,"Saginaw, MI",tel:+1-888-451-9270,Saginaw,MI
2024 Ford Escape Base,New,40859,Ford Lincoln Fairfield,4.5,2039,"Fairfield, CA",tel:+1-707-474-4105,Fairfield,CA
2024 Nissan Murano SV,New,43585,Barberino Nissan,4.7,396,"Wallingford, CT",tel:+1-888-570-9231,Wallingford,CT
2023 Chrysler Pacifica L,New,57951,Putnam Volvo Cars Mazda Subaru Dodge Jeep Chrysler RAM Nissan,0.0,14,"Burlingame, CA",tel:+1-650-539-2159,Burlingame,CA
2024 RAM 3500 Big Horn,New,70937,Bruner Chrysler Dodge Jeep Ram,0.0,1,"Stephenville, TX",tel:+1-877-282-1506,Stephenville,TX
2018 Chevrolet Traverse Premier,Used,33999,Davis Gainesville Chevrolet Mazda,4.6,767,"Gainesville, FL",tel:+1-888-903-7532,Gainesville,FL
2020 Porsche Macan Base,Used,44000,Autry Morlan Chevrolet Nissan,4.1,26,"Dexter, MO",tel:+1-573-544-2593,Dexter,MO
2021 Audi A5 45 S line Prestige,Used,35999,Boise Volkswagen,0.0,1,"Boise, ID",tel:+1-208-957-5238,Boise,ID
2013 Lexus GS 350 Base,Used,16500,Preferred Auto Wholesale,0.0,0,"Moncks Corner, SC",tel:+1-888-211-8304,Moncks Corner,SC
2018 Mazda CX-9 Grand Touring,Used,24997,Tyrrell Chevrolet Company,3.4,48,"Cheyenne, WY",tel:+1-307-275-3394,Cheyenne,WY
2023 INFINITI QX60 SENSORY,Used,55963,Wagner Cadillac,0.0,28,"Tyler, TX",tel:+1-903-638-2647,Tyler,TX
2024 Mazda CX-50 2.5 Turbo Premium Package,New,43380,Tom Dolan's Reno KIA,4.2,483,"Reno, NV",tel:+1-775-344-4677,Reno,NV
2024 Mercedes-Benz AMG GLE 53 Base,New,93155,Mercedes-Benz of Augusta,4.6,466,"Augusta, GA",tel:+1-706-955-2369,Augusta,GA
2024 Lexus NX 450h+ Luxury,New,65895,Lexus of Chattanooga,5.0,1022,"Chattanooga, TN",tel:+1-855-551-6435,Chattanooga,TN
2024 Buick Enclave Essence FWD,New,39580,Parks Buick GMC Kernersville,4.7,2027,"Kernersville, NC",tel:+1-336-900-7038,Kernersville,NC
2023 Toyota GR86 Premium,Used,30900,Deery Brothers,4.2,139,"West Burlington, IA",tel:+1-319-237-3692,West Burlington,IA
2020 Ford F-150 XLT,Used,26500,Don's Ford,4.4,301,"Utica, NY",tel:+1-315-971-3703,Utica,NY
2020 Ford F-150 XLT,Used,34000,Don's Ford,4.4,301,"Utica, NY",tel:+1-315-971-3703,Utica,NY
2022 Lexus LX 600 F SPORT,Used,103500,Sarchione Auto Gallery,0.0,3,"Canton, OH",tel:+1-330-617-8786,Canton,OH
2016 Mazda CX-3 Touring,Used,14497,Northway Automotive Lake Hopatcong,4.6,310,"Jefferson, NJ",tel:+1-973-841-6180,Jefferson,NJ
2024 Hyundai Elantra SEL,New,25345,Red Hoagland Hyundai,4.7,1040,"Winter Haven, FL",tel:+1-863-450-3387,Winter Haven,FL
2022 Ford EcoSport Titanium AWD,Used,24995,Certified Auto Outlet,0.0,18,"Oneonta, NY",tel:+1-607-643-4128,Oneonta,NY
2018 Jeep Wrangler Unlimited Sahara,Used,33968,Woody Folsom Ford,4.4,76,"Baxley, GA",tel:+1-912-209-0175,Baxley,GA
2019 Tesla Model 3 Long Range,Used,18995,Tom's Auto Sales West,0.0,43,"Urbandale, IA",tel:+1-515-657-6804,Urbandale,IA
2022 Ford Transit-350 Base,Used,46995,DESOTO Ford,4.5,373,"Arcadia, FL",tel:+1-863-485-4331,Arcadia,FL
2021 Cadillac CT5 Luxury AWD,Used,31000,Cappellino Cadillac,4.4,55,"williamsville, NY",tel:+1-716-458-7757,williamsville,NY
2012 Toyota Yaris LE,Used,10500,Westgate Retails,0.0,0,"Orange, CA",tel:+1-562-512-5511,Orange,CA
2024 Toyota Tundra Hybrid 1794 Edition,New,74355,Lithia Toyota of Odessa,4.8,668,"Odessa, TX",tel:+1-432-535-5047,Odessa,TX
2007 Volkswagen GTI 4-Door (A6),Used,8975,Chicago Motors Direct,4.1,49,"Addison, IL",tel:+1-630-883-4375,Addison,IL
2020 Toyota Land Cruiser Heritage Edition,Used,67395,Porsche Delaware,4.6,242,"Newark, DE",tel:+1-888-440-8698,Newark,DE
2019 Nissan Armada SL,Used,25999,Yuma Honda,4.9,592,"Yuma, AZ",tel:+1-480-422-6754,Yuma,AZ
2021 Toyota RAV4 XLE,Used,23791,Randy Marion's Sav-A-Lot,4.2,168,"Hickory, NC",tel:+1-704-897-6282,Hickory,NC
2023 Mercedes-Benz Sprinter 2500 144 WB Standard Roof Passenger,Used,78900,Mercedes-Benz of Augusta,4.6,466,"Augusta, GA",tel:+1-706-664-2167,Augusta,GA
2017 Buick LaCrosse Premium,Used,17988,Kendall Subaru of Eugene,4.8,617,"Eugene, OR",tel:+1-866-604-1576,Eugene,OR
2019 Hyundai Tucson Night,Used,24250,Mercedes-Benz of Midlothian,4.9,778,"Midlothian, VA",tel:+1-804-419-5506,Midlothian,VA
1993 Cadillac Fleetwood Standard,Used,14900,AutoHaus of Naples,0.0,5,"Naples, FL",tel:+1-239-249-3133,Naples,FL
2022 RAM 1500 Classic SLT,Used,35839,Gillie Hyde Auto Group,4.3,912,"Glasgow, KY",tel:+1-888-865-9697,Glasgow,KY
2024 Kia Telluride S,New,41995,Utter Family of Dealerships,4.2,377,"Sherman, TX",tel:+1-903-487-5675,Sherman,TX
2021 Chevrolet Malibu FWD LT,Used,16999,Dyer Chevrolet,4.6,793,"Vero Beach, FL",tel:+1-772-245-5349,Vero Beach,FL
2021 Kia Seltos S,Used,20770,Lakeside Toyota,3.9,933,"Metairie, LA",tel:+1-504-584-4888,Metairie,LA
2007 Ferrari F430 Spider,Used,125995,Exotic Motorsports of Oklahoma,0.0,1,"Edmond, OK",tel:+1-405-493-0809,Edmond,OK
2023 Mercedes-Benz CLA 250 Base 4MATIC,Used,40865,Mercedes-Benz of Milwaukee North,4.5,314,"Glendale, WI",tel:+1-888-821-6594,Glendale,WI
2021 Porsche Taycan Turbo,Used,92267,Autohaus of Peoria,3.2,85,"Peoria, IL",tel:+1-866-894-4013,Peoria,IL
2024 Nissan Sentra SR,New,27030,Tracy Nissan,0.0,12,"Tracy, CA",tel:+1-209-214-6073,Tracy,CA
2020 Nissan Sentra SV,Used,19900,Edwards Hyundai,0.0,867,"Council Bluffs, IA",tel:+1-833-568-8905,Council Bluffs,IA
2024 GMC Sierra 1500 Elevation,New,54595,Halladay Buick GMC,4.8,1003,"Cheyenne, WY",tel:+1-877-280-3167,Cheyenne,WY
2019 Ford Fusion Titanium,Used,19899,Springs Automotive Group,4.8,645,"Colorado Springs, CO",tel:+1-719-387-4824,Colorado Springs,CO
2012 Cadillac CTS Luxury,Used,11888,Avon Auto Brokers,4.7,957,"Avon, MA",tel:+1-508-436-2796,Avon,MA
2023 Mercedes-Benz GLB 250 Base 4MATIC,Used,44368,Napleton Autowerks Loves Park,4.8,850,"Loves Park, IL",tel:+1-815-315-9550,Loves Park,IL
2024 Mercedes-Benz Sprinter 2500 High Roof,New,70320,Mercedes-Benz of Cutler Bay,4.9,3619,"Cutler Bay, FL",tel:+1-786-254-5606,Cutler Bay,FL
2013 Mercedes-Benz SL-Class SL 550,Used,32500,Coachella Valley Motorwerks,0.0,2,"Palm Springs, CA",tel:+1-866-544-1926,Palm Springs,CA
2023 Mercedes-Benz Sprinter 3500XD High Roof,Used,229900,Mycarpark.com by Fahrney,0.0,4,"Selma, CA",tel:+1-559-306-0011,Selma,CA
2021 Porsche 718 Boxster,Used,67995,Manhattan Motorcars,4.9,519,"New York, NY",tel:+1-888-802-0360,New York,NY
2021 Chevrolet Trailblazer ACTIV,Used,23969,Lynch Chevrolet of Kenosha,4.7,362,"Kenosha, WI",tel:+1-262-671-1016,Kenosha,WI
2024 RAM 3500 Big Horn Crew Cab 4x4 8' Box,New,66895,Bergstrom of Kaukauna,0.0,92,"Kaukauna, WI",tel:+1-888-503-0085,Kaukauna,WI
2020 Nissan Rogue Sport SV,Used,19987,All American Chevrolet of Odessa,4.3,313,"Odessa, TX",tel:+1-877-884-5693,Odessa,TX
2022 Cadillac XT4 Premium Luxury,Used,32900,Cannon Chevrolet of Laurel,4.6,113,"Laurel, MS",tel:+1-888-436-6859,Laurel,MS
2016 Chevrolet Malibu Limited LT,Used,10000,Grieco Ford,4.8,380,"Raynham, MA",tel:+1-888-687-9148,Raynham,MA
2015 Porsche Boxster S,Used,59800,Illinois Motors,3.9,8,"Cary, IL",tel:+1-866-771-7256,Cary,IL
2017 BMW 328d 328d,Used,16780,Steve & Sons Auto Sales & Rv's Llc,0.0,4,"Happy Valley, OR",tel:+1-503-821-0894,Happy Valley,OR
2019 Tesla Model X Long Range,Used,40500,Fastrack Auto Inc,0.0,1,"Rosemead, CA",tel:+1-626-262-4182,Rosemead,CA
2021 Hyundai Palisade Limited,Used,36910,Lewis Motor Sales,0.0,8,"Lafayette, IN",tel:+1-765-588-5602,Lafayette,IN
2022 Tesla Model Y Long Range,Used,31540,Woodhouse.com,0.0,1,,tel:+1-402-983-9351,no_state,no_region
2021 Subaru Forester Premium,Used,23661,Capitol Garage Inc,4.6,363,"Willimantic, CT",tel:+1-860-786-6449,Willimantic,CT
2023 Mercedes-Benz EQB 300 Base 4MATIC,New,64300,"Jack Ingram Motors, Inc.",0.0,64,"Montgomery, AL",tel:+1-609-385-4758,Montgomery,AL
2019 Chevrolet Express 2500 Work Van,Used,29995,Auto Time,5.0,89,"Omaha, NE",tel:+1-402-403-5045,Omaha,NE
2018 Ford Escape SEL,Used,19095,DriveTime of Albany,0.0,0,"Albany, GA",tel:+1-229-463-0042,Albany,GA
2007 Chevrolet Express 1500 Cargo,Used,6980,Broadway Auto Mall,0.0,16,"Lexington, KY",tel:+1-859-309-6266,Lexington,KY
2019 Jeep Renegade Sport,Used,17952,Ken Ganley Kia Boardman,4.8,573,"Youngstown, OH",tel:+1-234-226-4051,Youngstown,OH
2023 Lexus ES 300h 300H,Used,46000,Lexus of Colorado Springs,4.8,533,"Colorado Springs, CO",tel:+1-719-387-8453,Colorado Springs,CO
1999 Lexus RX 300 Base,Used,4998,D-Patrick Nissan,4.9,153,"Evansville, IN",tel:+1-812-618-2685,Evansville,IN
2020 Nissan NV Cargo NV2500 HD SV,Used,24717,John Roberts Nissan,4.7,280,"Manchester, TN",tel:+1-888-901-0178,Manchester,TN
2021 Ford Ranger LARIAT,Used,39250,Sames Ford Laredo,0.0,0,"Laredo, TX",tel:+1-956-394-3081,Laredo,TX
2018 Honda Clarity Plug-In Hybrid Base,Used,20998,CarMax San Antonio - Offering Express Pickup and Home Delivery,0.0,14,"San Antonio, TX",tel:+1-210-775-6704,San Antonio,TX
2024 Volkswagen Taos 1.5T SE,New,30299,Basil Volkswagen of Lockport,4.4,232,"Lockport, NY",tel:+1-716-210-7476,Lockport,NY
2015 Volvo V60 Cross Country T5,Used,18477,Alan Byer Foreign Auto,0.0,24,"Utica, NY",tel:+1-315-235-1872,Utica,NY
2024 Alfa Romeo Giulia Veloce RWD,New,55225,Greenway FIAT of East Orlando,3.5,149,"Orlando, FL",tel:+1-407-287-5104,Orlando,FL
2024 Mazda CX-30 Preferred,New,31060,Mccurley Mazda,4.9,746,"Pasco, WA",tel:+1-509-412-3193,Pasco,WA
2024 Mazda CX-30 Select,New,27875,Mccurley Mazda,4.9,746,"Pasco, WA",tel:+1-509-412-3193,Pasco,WA
2016 BMW 435 i,Used,22149,Beaverton Car Company,3.2,146,"Beaverton, OR",tel:+1-503-822-0211,Beaverton,OR
2024 Volvo XC90 B6 Plus Bright Theme 7-Seater,New,67415,Tom Kelley Volvo,4.8,192,"Fort Wayne, IN",tel:+1-877-876-3401,Fort Wayne,IN
2023 Ford F-150 Lightning XLT,New,45915,Golden Circle Ford Parsons,0.0,5,"Parsons, TN",tel:+1-731-321-3725,Parsons,TN
2019 Ford Edge Titanium,Used,20998,CarMax Jacksonville - Offering Express Pickup and Home Delivery,0.0,16,"Jacksonville, FL",tel:+1-904-395-5582,Jacksonville,FL
2018 BMW 320 i xDrive,Used,17880,RITECAR LLC,0.0,2,"EDGEWOOD, MD",tel:+1-410-237-6333,EDGEWOOD,MD
2023 Toyota bZ4X Limited,Used,43900,Sparks Toyota,4.7,1596,"Myrtle Beach, SC",tel:+1-877-346-5985,Myrtle Beach,SC
2015 Subaru XV Crosstrek Base,Used,11690,Premium Motors,0.0,0,"Reynoldsburg, OH",tel:+1-614-665-2119,Reynoldsburg,OH
2016 Ford Fusion SE,Used,7995,HW Auto Wholesale,0.0,7,"Norfolk, VA",tel:+1-757-796-1059,Norfolk,VA
2021 Nissan NV Cargo NV1500 SV V6,Used,26988,R & B Car Company South Bend,4.6,111,"South Bend, IN",tel:+1-574-400-2098,South Bend,IN
2023 Mercedes-Benz G-Class G 550 4MATIC,Used,169997,Mercedes-Benz of Escondido,4.0,317,"Escondido, CA",tel:+1-760-546-6221,Escondido,CA
2023 Volkswagen Taos 1.5T SEL,Used,26990,Napleton's Auto Park Of Urbana,4.8,3127,"Urbana, IL",tel:+1-217-582-4178,Urbana,IL
2008 Kia Spectra EX,Used,5500,Minnesota Truck Headquarters of St. Cloud,4.8,403,"St Cloud, MN",tel:+1-320-310-0609,St Cloud,MN
2024 GMC Sierra 1500 Elevation,New,63940,Halladay Buick GMC,4.8,1003,"Cheyenne, WY",tel:+1-877-280-3167,Cheyenne,WY
2024 Mercedes-Benz EQE 350+ Base,New,83090,Mercedes-Benz of Bakersfield,0.0,542,"Bakersfield, CA",tel:+1-661-578-6324,Bakersfield,CA
2022 Ford Mustang Mach-E Select,Used,29099,Florida Fine Cars Margate,4.9,1828,"Margate, FL",tel:+1-954-268-1183,Margate,FL
2010 Lexus HS 250h,Used,15999,Red's Auto & Truck,4.2,253,"Longmont, CO",tel:+1-303-647-5126,Longmont,CO
2016 Toyota Prius Four,Used,24995,Roy's Auto Center,0.0,25,"Eureka, CA",tel:+1-707-382-3610,Eureka,CA
2023 Chevrolet Corvette 3LT,Used,97796,Stevenson-Hendrick Honda Wilmington,4.9,2320,"Wilmington, NC",tel:+1-888-898-6405,Wilmington,NC
2022 Kia Stinger GT1,Used,34500,Dutch Miller Kia of Barboursville,3.4,95,"Barboursville, WV",tel:+1-304-397-8292,Barboursville,WV
2023 Mercedes-Benz EQE 500 4MATIC+,New,97935,Mercedes-Benz Sprinter of Hilton Head,4.6,331,"Bluffton, SC",tel:+1-843-960-0569,Bluffton,SC
2022 Ford Escape PHEV Titanium,Used,27988,Blaise Alexander Subaru of Lewistown,4.9,7,"Burnham, PA",tel:+1-717-363-8600,Burnham,PA
2015 Dodge Grand Caravan AVP/SE,Used,13990,Theilen Auto Sales,0.0,7,"Clear Lake, IA",tel:+1-641-243-4245,Clear Lake,IA
2011 Mercedes-Benz M-Class ML 350,Used,9949,,0.0,0,,,no_state,no_region
2015 Mercedes-Benz M-Class 4MATIC,Used,17488,Stevens Creek Hyundai,2.5,419,"Santa Clara, CA",tel:+1-408-660-3864,Santa Clara,CA
2016 FIAT 500X Trekking,Used,12995,DELLA Mitsubishi,3.8,104,"Plattsburgh, NY",tel:+1-888-365-9918,Plattsburgh,NY
2020 Audi Q3 Premium,Used,26995,Schott Brothers Sales,0.0,6,"Bucyrus, OH",tel:+1-419-617-3130,Bucyrus,OH
2019 Ford Flex Limited,Used,22995,Premier Automotive,4.0,436,"Milford, OH",tel:+1-513-685-9721,Milford,OH
2019 Mercedes-Benz AMG GT C,Used,95950,The Post Oak Collection,0.0,1,"The Woodlands, TX",tel:+1-346-708-5282,The Woodlands,TX
2024 Buick Enclave Avenir,New,55688,Blaise Alexander Chevrolet Buick GMC Truck of Mansfield,0.0,18,"Mansfield, PA",tel:+1-866-396-9993,Mansfield,PA
2021 GMC Terrain SLT,Used,24740,Lipscomb Chrysler Dodge Jeep RAM,4.7,92,"Elk City, OK",tel:+1-833-392-3931,Elk City,OK
2019 Jeep Grand Cherokee Limited,Used,26500,Landers McLarty Ford,3.9,307,"Fort Payne, AL",tel:+1-256-273-3232,Fort Payne,AL
2014 Hyundai Azera Limited,Used,14995,Dean Team Volvo Cars of Saint Louis,4.8,1115,"Saint Louis, MO",tel:+1-314-732-0207,Saint Louis,MO
2024 Mitsubishi Eclipse Cross ES,New,24804,Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.2,3802,"Hialeah, FL",tel:+1-305-809-7662,Hialeah,FL
2022 Chevrolet Silverado 1500 Limited RST,Used,41888,Colonial Honda of Dartmouth,4.9,3321,"North Dartmouth, MA",tel:+1-508-938-1050,North Dartmouth,MA
2022 Ford Explorer Limited,Used,33998,CarMax Charleston - Offering Express Pickup and Home Delivery,0.0,6,"Charleston, SC",tel:+1-843-889-7332,Charleston,SC
2021 Lexus UX 250h Base,Used,34998,CarMax Grand Rapids (Kentwood) - Offering Express Pickup and Home Delivery,0.0,1,"Kentwood, MI",tel:+1-616-222-1866,Kentwood,MI
2024 Chevrolet Equinox 1LT,New,28165,Guaranty Chevrolet,4.6,156,"Santa Ana, CA",tel:+1-714-352-4454,Santa Ana,CA
1996 Mazda MX-5 Miata M-Edition,Used,18990,Urban Motors Red,0.0,1,"Lakewood, CO",tel:+1-720-905-4704,Lakewood,CO
2019 Subaru WRX STI Base,Used,32391,Subaru of Spokane,4.5,1605,"Spokane, WA",tel:+1-866-967-9018,Spokane,WA
2014 Subaru XV Crosstrek 2.0i Premium,Used,12092,AutoNation USA San Antonio,4.7,201,"San Antonio, TX",tel:+1-866-470-5099,San Antonio,TX
2024 Chevrolet Equinox Premier w/1LZ,New,39160,Tadd Jenkins Chevrolet,4.5,74,"Rigby, ID",tel:+1-208-643-9039,Rigby,ID
2023 GMC Acadia AWD SLT,Used,31900,Bergey's Subaru of Hanover,0.0,1,"Hanover, PA",tel:+1-833-392-2723,Hanover,PA
2008 Ford Escape Hybrid Hybrid,Used,8999,Kelleher Motor Company,0.0,3,"Ellensburg, WA",tel:+1-866-604-0180,Ellensburg,WA
2022 Toyota Tundra Hybrid TRD Pro,Used,66998,Blue Knob Auto Sales,4.9,250,"Duncansville, PA",tel:+1-814-317-0052,Duncansville,PA
2024 Jeep Wagoneer Series II,New,72031,Suburban Chrysler Dodge Jeep RAM of Troy,4.3,1989,"Troy, MI",tel:+1-844-338-8863,Troy,MI
2018 Land Rover Range Rover Evoque HSE Dynamic,Used,34293,Tim Short Chrysler Dodge Jeep Ram Hyundai - Fiat,4.7,191,"Pikeville, KY",tel:+1-606-653-9854,Pikeville,KY
2022 Buick Encore GX Essence,Used,21000,Spitzer Chevrolet Lordstown,4.9,830,"North Jackson, OH",tel:+1-866-984-0495,North Jackson,OH
2024 Cadillac CT5-V Blackwing,New,104455,Findlay Cadillac Henderson,4.5,285,"Henderson, NV",tel:+1-702-790-8238,Henderson,NV
2024 Nissan Sentra SR,New,25926,Classic Nissan Newport News,3.9,500,"Newport News, VA",tel:+1-757-856-5320,Newport News,VA
2019 Toyota Sequoia Platinum,Used,46076,Kings Ford,4.7,1701,"Cincinnati, OH",tel:+1-513-454-7750,Cincinnati,OH
2023 Mercedes-Benz Metris Base,New,53521,"Jack Ingram Motors, Inc.",0.0,64,"Montgomery, AL",tel:+1-609-385-4758,Montgomery,AL
2024 Toyota Tundra Hybrid Limited,New,66258,Lithia Toyota of Odessa,4.8,668,"Odessa, TX",tel:+1-432-535-5047,Odessa,TX
2018 Buick Encore Preferred,Used,18990,Burke Chevrolet,5.0,62,"Northampton, MA",tel:+1-413-349-4072,Northampton,MA
2024 Mercedes-Benz AMG GT 43 Base,New,119680,Mercedes-Benz of Westwood,2.6,451,"Westwood, MA",tel:+1-781-484-1019,Westwood,MA
2017 Acura NSX Coupe,Used,124609,Elusive Motors,5.0,8,"Portland, OR",tel:+1-503-278-5109,Portland,OR
2024 Jeep Grand Cherokee L Limited,New,51160,Dick Myers Chrysler Dodge Jeep RAM Inc,3.6,20,"Harrisonburg, VA",tel:+1-540-908-2140,Harrisonburg,VA
2002 Ford Thunderbird Premium,Used,23995,Paul Sevag Motors Inc.,5.0,442,"West Chester, PA",tel:+1-610-227-0962,West Chester,PA
2017 Ford Transit-250 Base,Used,27991,Legend Auto Sales Inc,4.8,1561,"Burien, WA",tel:+1-833-241-0632,Burien,WA
2024 Chevrolet Equinox LS,New,26280,Davis Gainesville Chevrolet Mazda,4.6,767,"Gainesville, FL",tel:+1-888-903-5119,Gainesville,FL
2022 Honda Civic Sport,Used,24983,Bianchi Honda,4.9,4274,"Erie, PA",tel:+1-814-923-0330,Erie,PA
2009 Dodge Caliber SE,Used,4200,,0.0,0,,,no_state,no_region
2017 Lexus LS 460 Base,Used,31400,AutoNation USA Katy,4.8,677,"Houston, TX",tel:+1-888-258-2661,Houston,TX
2024 RAM 3500 Big Horn 4x4 Crew Cab 8  Box,New,69999,Lithia Chrysler Jeep Dodge of Medford,4.5,714,"Medford, OR",tel:+1-541-326-4625,Medford,OR
2017 Mercedes-Benz Sprinter 2500,Used,32500,Honda of Covington,4.8,1807,"Covington, LA",tel:+1-833-240-8326,Covington,LA
2020 Ford Transit-250 Base,Used,29995,MG Motors,0.0,3,"Tuscon, AZ",tel:+1-520-257-4082,Tuscon,AZ
2024 Kia Sorento X-Line SX,New,48485,Hutchinson Kia of Albany,5.0,12,"Albany, GA",tel:+1-229-299-4944,Albany,GA
2013 Nissan Juke SL,Used,7995,Tom's Auto Sales,1.8,108,"Des Moines, IA",tel:+1-515-657-6662,Des Moines,IA
2019 Hyundai Santa Fe XL SE,Used,19360,Premier Subaru Kia,4.8,3053,"Branford, CT",tel:+1-203-204-1491,Branford,CT
2024 Hyundai Elantra N Line,New,29195,Red Hoagland Hyundai,4.7,1040,"Winter Haven, FL",tel:+1-863-450-3387,Winter Haven,FL
2024 Hyundai Elantra SEL,New,24335,Red Hoagland Hyundai,4.7,1040,"Winter Haven, FL",tel:+1-863-450-3387,Winter Haven,FL
2022 Ford F-150 Raptor,Used,75000,,0.0,0,,,no_state,no_region
